"","Total Votes","County","County Office","Candidate","Party","Candidate Type","Election Votes","Percent"
"619","1","Edwards County","Race: Tax Assessor-Collector","LORENZA ""LORRI"" GARCIA RUIZ","R","I","1",100
"620","1","Ellis County","Race: Constable Pct. 1","ROY CALLENDER","R","I","1",100
"621","1","Ellis County","Race: Constable Pct. 2","TERRY NAY","R","I","1",100
"622","1","Ellis County","Race: Constable Pct. 3","CURTIS ""POLKEY"" POLK JR","D","I","1",100
"623","1","Ellis County","Race: Constable Pct. 4","MIKE JONES","R","I","1",100
"624","1","Ellis County","Race: County Commissioner Pct. 1","RANDY STINSON","R","I","1",100
"625","1","Ellis County","Race: County Commissioner Pct. 3","PAUL PERRY","R","I","1",100
"626","1","Ellis County","Race: District/County Attorney","ANN MONTGOMERY","R","N","1",100
"627","1","Ellis County","Race: Sheriff","BRAD NORMAN","R","N","1",100
"628","1","Ellis County","Race: Tax Assessor-Collector","JOHN BRIDGES","R","I","1",100
"629","1","El Paso County","Race: Constable Pct. 1","OSCAR UGARTE","D","I","1",100
"630","32,019","El Paso County","Race: Constable Pct. 2","DANNY T.  ZAMORA","D","N","20,591",64.3086917142946
"631","32,019","El Paso County","Race: Constable Pct. 2","EDWARD SENA","R","N","11,428",35.6913082857054
"632","1","El Paso County","Race: Constable Pct. 3","HECTOR J. BERNAL","D","I","1",100
"633","1","El Paso County","Race: Constable Pct. 4","LUIS ""LOUIE"" AGUILAR","D","I","1",100
"634","1","El Paso County","Race: Constable Pct. 5","MANNY LOPEZ","D","I","1",100
"635","42,628","El Paso County","Race: Constable Pct. 6 Place 1","JAVIER I. GARCIA","D","I","29,005",68.0421319320634
"636","42,628","El Paso County","Race: Constable Pct. 6 Place 1","JOSE ROJO","R","N","13,623",31.9578680679366
"637","34,920","El Paso County","Race: Constable Pct. 7","ANGIE SOMMERS","D","I","19,960",57.1592210767468
"638","34,920","El Paso County","Race: Constable Pct. 7","JOSEPH R. BURDS","R","N","14,960",42.8407789232531
"639","1","El Paso County","Race: County Attorney","JO ANNE BERNAL","D","I","1",100
"640","1","El Paso County","Race: County Commissioner Pct. 1","CARLOS LEON","D","I","1",100
"641","61,075","El Paso County","Race: County Commissioner Pct. 3","ILIANA HOLGUIN","D","N","44,346",72.6090871878837
"642","61,075","El Paso County","Race: County Commissioner Pct. 3","RANDY FRENCH","R","N","16,729",27.3909128121163
"643","1/664","El Paso County","Race: District Attorney 34th Judicial District","YVONNE ROSALES","D","N","1/664",NA
"644","1","El Paso County","Race: Sheriff","RICHARD WILES","D","I","1",100
"645","1","El Paso County","Race: Tax Assessor-Collector","RUBEN P. GONZALEZ","D","I","1",100
"646","1","Erath County","Race: Constable Pct. 1","JASON SCHIPPER","R","I","1",100
"647","1","Erath County","Race: Constable Pct. 2","RYAN GIBSON","R","N","1",100
"648","1","Erath County","Race: County Attorney","LISA PENCE","R","I","1",100
"649","1","Erath County","Race: County Commissioner Pct. 1","DEE STEPHENS","R","I","1",100
"650","1","Erath County","Race: County Commissioner Pct. 3","JOE BROWN","R","I","1",100
"651","15071/15071","Erath County","Race: District Attorney 266th Judicial District","ALAN NASH","R","I","15071/15071",NA
"652","15,891","Erath County","Race: Sheriff","Matt Coates","R","I","13,333",83.9028380844503
"653","1","Erath County","Race: Tax Assessor-Collector","JENNIFER CAREY","R","I","1",100
"654","1,029","Falls County","Race: Constable Pct. 1","JONATHAN SHOEMAKER","R","I","1,029",100
"655","926","Falls County","Race: Constable Pct. 2","MARION HUMPHREY","D","I","926",100
"656","1,421","Falls County","Race: Constable Pct. 3","JERRY LODEN","R","I","1,421",100
"657","1,428","Falls County","Race: Constable Pct. 4","JERRY WOOD","R","N","1,428",100
"658","1,069","Falls County","Race: County Commissioner Pct. 1","MILTON ALBRIGHT","R","I","1,069",100
"659","1,440","Falls County","Race: County Commissioner Pct. 3","JASON WILLBERG","R","I","1,440",100
"660","4,425","Falls County","Race: District/County Attorney","KATHRYN JODY GILLIAM","R","I","4,425",100
"661","5,787","Falls County","Race: Sheriff","JOE LOPEZ","D","N","3,358",58.0266113703128
"662","5,787","Falls County","Race: Sheriff","RICKY SCAMAN","R","I","2,429",41.9733886296872
"663","4,609","Falls County","Race: Tax Assessor-Collector","KAYCI NEHRING","R","I","4,609",100
"664","6,045","Fannin County","Race: Constable Pct. 1","PAUL HOLT","R","I","6,045",100
"665","4,031","Fannin County","Race: Constable Pct. 2","JIMMY HELMS","R","I","4,031",100
"666","2,202","Fannin County","Race: Constable Pct. 3","KEVIN MAYBERRY","R","I","2,202",100
"667","3,183","Fannin County","Race: County Commissioner Pct. 1","EDWINA LANE","R","N","3,183",100
"668","2,709","Fannin County","Race: County Commissioner Pct. 3","JERRY MAGNESS","R","I","2,709",100
"669","12,127","Fannin County","Race: Criminal District Attorney","RICHARD GLASER","R","I","12,127",100
"670","12,226","Fannin County","Race: Sheriff","MARK JOHNSON","R","I","12,226",100
"671","12,588","Fannin County","Race: Tax Assessor-Collector","GAIL YOUNG","R","I","12,588",100
"672","1","Fayette County","Race: Constable Pct. 1","WM BILLY ROENSCH","R","I","1",100
"673","1","Fayette County","Race: Constable Pct. 2","ROGER WUNDERLICH","R","I","1",100
"674","1","Fayette County","Race: Constable Pct. 3","ROBERT H. CHAMBERS","R","I","1",100
"675","1","Fayette County","Race: Constable Pct. 4","JASON STRICKLAND","R","I","1",100
"676","1","Fayette County","Race: County Commissioner Pct. 1","JASON MCBROOM","R","I","1",100
"677","1","Fayette County","Race: County Commissioner Pct. 3","HARVEY BERCKENHOFF","R","I","1",100
"678","1","Fayette County","Race: District/County Attorney","PEGGY SUPAK","D","I","1",100
"679","1","Fayette County","Race: Sheriff","KEITH KORENEK","R","I","1",100
"680","1","Fayette County","Race: Tax Assessor-Collector","ROSALINDA G. ADAMCIK (Deceased)","R","I","1",100
"681","1","Fisher County","Race: County Attorney","MICHAEL HALL","D","I","1",100
"682","1","Fisher County","Race: County Commissioner Pct. 1","GORDON PIPPIN","R","I","1",100
"683","1","Fisher County","Race: County Commissioner Pct. 3","PRESTON MARTIN","R","I","1",100
"684","1603/8465","Fisher County","Race: District Attorney 32nd Judicial District","RICKY NOLAN THOMPSON","R","I","1603/8465",NA
"685","1","Fisher County","Race: Sheriff","ALLAN ARNWINE","R","I","1",100
"686","1","Fisher County","Race: Tax Assessor-Collector","JONNYE LU GIBSON","R","I","1",100
"687","1,683","Floyd County","Race: County Attorney","LEX HERRINGTON","R","I","1,683",100
"688","659","Floyd County","Race: County Commissioner Pct. 1","TANNER SMITH","R","I","659",100
"689","260","Floyd County","Race: County Commissioner Pct. 3","NATHAN JOHNSTON","R","I","260",100
"690","1744/3863","Floyd County","Race: District Attorney 110th Judicial District","WADE JACKSON","R","I","1744/3863",NA
"691","1,743","Floyd County","Race: Sheriff","PAUL RAISSEZ","R","I","1,743",100
"692","1,808","Floyd County","Race: Tax Assessor-Collector","DELIA SUAREZ","R","I","1,808",100
"693","468","Foard County","Race: Constable","ANTHONY HINSLEY","R","N","468",100
"694","437","Foard County","Race: County Attorney","MARSHALL CAPPS","R","I","437",100
"695","79","Foard County","Race: County Commissioner Pct. 1","RICK HAMMONDS","R","I","79",100
"696","116","Foard County","Race: County Commissioner Pct. 3","LARRY WRIGHT","R","I","116",100
"697","311/3294","Foard County","Race: District Attorney 46th Judicial District","STALEY HEATLY","D","I","311/3294",NA
"698","475","Foard County","Race: Sheriff/Tax Assessor-Collector","MIKE BROWN","R","I","475",100
"699","74,816","Fort Bend County","Race: Constable Pct. 1","MIKE BEARD","R","I","38,685",51.7068541488452
"700","74,816","Fort Bend County","Race: Constable Pct. 1","SAM HAYES","D","N","36,131",48.2931458511548
"701","53,825","Fort Bend County","Race: Constable Pct. 2","DARYL SMITH","D","I","53,825",100
"702","106,240","Fort Bend County","Race: Constable Pct. 3","CHAD NORVELL","R","N","62,388",58.7236445783132
"703","106,240","Fort Bend County","Race: Constable Pct. 3","PATRICK QUINCY","D","N","43,852",41.2763554216867
"704","87,708","Fort Bend County","Race: Constable Pct. 4","JOHN G. HERMANN","R","N","42,463",48.4140557303781
"705","87,708","Fort Bend County","Race: Constable Pct. 4","NABIL SHIKE","D","N","45,245",51.5859442696219
"706","335,579","Fort Bend County","Race: County Attorney","BRIDGETTE SMITH-LAWSON","D","N","176,302",52.5366605180896
"707","335,579","Fort Bend County","Race: County Attorney","STEVE ROGERS","R","N","159,277",47.4633394819104
"708","75,074","Fort Bend County","Race: County Commissioner Pct. 1","JENNIFER CANTU","D","N","35,778",47.6569784479314
"709","75,074","Fort Bend County","Race: County Commissioner Pct. 1","VINCENT MORALES","R","I","39,296",52.3430215520686
"710","106,117","Fort Bend County","Race: County Commissioner Pct. 3","HOPE MARTIN","D","N","43,593",41.0801285373691
"711","106,117","Fort Bend County","Race: County Commissioner Pct. 3","W. A. ""ANDY"" MEYERS","R","I","62,524",58.9198714626309
"712","74,445","Fort Bend County","Race: Justice of the Peace Pct. 1 Place 1","CODY MOORE","D","N","35,939",48.2759083887434
"713","74,445","Fort Bend County","Race: Justice of the Peace Pct. 1 Place 1","GARY D. JANSSEN","R","I","38,506",51.7240916112566
"714","339,024","Fort Bend County","Race: Sheriff","ERIC FAGAN","D","N","178,099",52.5328590306291
"715","339,024","Fort Bend County","Race: Sheriff","TREVER J. NEHLS","R","N","160,925",47.4671409693709
"716","335,744","Fort Bend County","Race: Tax Assessor-Collector","CARMEN TURNER","D","N","174,075",51.8475386008387
"717","335,744","Fort Bend County","Race: Tax Assessor-Collector","JAMES PRESSLER","R","N","161,669",48.1524613991613
"718","4,330","Franklin County","Race: Constable","BRANTIN CARR","R","N","4,330",100
"719","4,331","Franklin County","Race: County Attorney","LANDON RAMSAY","R","N","4,331",100
"720","1,096","Franklin County","Race: County Commissioner Pct. 1","JERRY COOPER","R","I","1,096",100
"721","1,010","Franklin County","Race: County Commissioner Pct. 3","CHARLIE EMERSON","R","I","1,010",100
"722","4323/20033","Franklin County","Race: District Attorney 8th Judicial District","WILL RAMSAY","R","I","4323/20033",NA
"723","4,340","Franklin County","Race: Sheriff","RICKY JONES","R","I","4,340",100
"724","4,343","Franklin County","Race: Tax Assessor-Collector","SUE ANN HARPER","R","I","4,343",100
"725","2,050","Freestone County","Race: Constable Pct. 1","BUCK BONNER","R","I","2,050",100
"726","1,588","Freestone County","Race: Constable Pct. 2","DANIEL RAMSEY","R","N","1,588",100
"727","1,669","Freestone County","Race: Constable Pct. 3","RICHARD LEE  MCGOWAN","R","N","1,669",100
"728","2,043","Freestone County","Race: Constable Pct. 4","KEN I SESSIONS","R","N","2,043",100
"729","1,988","Freestone County","Race: County Commissioner Pct. 1","ANDY BONNER","R","I","1,988",100
"730","1,716","Freestone County","Race: County Commissioner Pct. 3","LLOYD LYNN LANE","R","N","1,716",100
"731","7,319","Freestone County","Race: District/County Attorney","BRIAN EVANS","R","I","7,319",100
"732","7,367","Freestone County","Race: Sheriff","JEREMY SHIPLEY","R","I","7,367",100
"733","7,165","Freestone County","Race: Tax Assessor-Collector","DANIEL M.  RALSTIN","R","N","7,165",100
"734","1","Frio County","Race: Constable Pct. 1","JOSE ""JOE"" RAMIREZ","D","N","1",100
"735","1","Frio County","Race: Constable Pct. 2","RODOLFO "" RUDY"" ORTEGON JR","D","I","1",100
"736","1","Frio County","Race: Constable Pct. 3","DANIEL ZAPATA","D","N","1",100
"737","1","Frio County","Race: Constable Pct. 4","RENE V. LOZANO","D","I","1",100
"738","1","Frio County","Race: County Attorney","JOSEPH SINDON","D","I","1",100
"739","1","Frio County","Race: County Clerk","AARON TOMAS IBARRA","D","I","1",100
"740","1","Frio County","Race: County Commissioner Pct. 1","JOE GARZA VELA","D","N","1",100
"741","1","Frio County","Race: County Commissioner Pct. 3","RAUL CARRIZALES, III","D","N","1",100
"742","1/41169","Frio County","Race: District Attorney 81st Judicial District","AUDREY GOSSETT LOUIS","R","I","1/41169",NA
"743","5,216","Frio County","Race: Sheriff","MIKE MORSE","D","N","3,267",62.6342024539877
"744","5,216","Frio County","Race: Sheriff","RICHARD GANDARA","R","N","1,949",37.3657975460123
"745","1","Frio County","Race: Tax Assessor-Collector","ANNA L. ALANIZ","D","I","1",100
"746","4,435","Gaines County","Race: Constable Pct. 1","CHAD HALLUM","R","N","4,435",100
"747","5,365","Gaines County","Race: County Attorney","JOE NAGY JR","R","I","5,365",100
"748","1,205","Gaines County","Race: County Commissioner Pct. 1","BRIAN ROSSON","R","I","1,205",100
"749","1,782","Gaines County","Race: County Commissioner Pct. 3","DAVID MURPHREE","R","I","1,782",100
"750","5314/11691","Gaines County","Race: District Attorney 106th Judicial District","PHILIP MACK FURLOW","R","I","5314/11691",NA
"751","5,365","Gaines County","Race: Sheriff","RONNY PIPKIN","R","I","5,365",100
"752","5,404","Gaines County","Race: Tax Assessor-Collector","SUSAN SHAW","R","I","5,404",100
"753","28,857","Galveston County","Race: Constable Pct. 1","RICK SHARP","R","I","28,857",100
"754","32,531","Galveston County","Race: Constable Pct. 2","JIMMY FULLEN","R","I","32,531",100
"755","10,263","Galveston County","Race: Constable Pct. 3","DERRECK ROSE","D","I","10,263",100
"756","37,033","Galveston County","Race: Constable Pct. 4","JUSTIN WEST","R","N","37,033",100
"757","27,528","Galveston County","Race: County Commissioner Pct. 1","DARRELL APFFEL","R","I","27,528",100
"758","16,951","Galveston County","Race: County Commissioner Pct. 3","STEPHEN D. HOLMES","D","I","16,951",100
"759","37,316","Galveston County","Race: Justice of the Peace Pct. 4","KATHLEEN M. MCCUMBER","R","I","37,316",100
"760","137,293","Galveston County","Race: Sheriff","HENRY A. TROCHESSET","R","I","89,104",64.9006140152812
"761","137,293","Galveston County","Race: Sheriff","MARK SALINAS","D","N","48,189",35.0993859847188
"762","108,655","Galveston County","Race: Tax Assessor-Collector","CHERYL E. JOHNSON","R","I","108,655",100
"763","860","Garza County","Race: Constable Pct. 1","DAVID E. GRAVES","R","N","860",100
"764","561","Garza County","Race: Constable Pct. 2","FREDDY GUERRERO","R","N","561",100
"765","1,445","Garza County","Race: County Attorney","TED WEEMS","R","I","1,445",100
"766","422","Garza County","Race: County Commissioner Pct. 1","JEFF WILLIAMS","R","I","422",100
"767","290","Garza County","Race: County Commissioner Pct. 3","TED A. BRANNON","R","I","290",100
"768","1376/11691","Garza County","Race: District Attorney 106th Judicial District","PHILIP MACK FURLOW","R","I","1376/11691",NA
"769","1,567","Garza County","Race: Sheriff","TERRY L. MORGAN","R","I","1,033",65.9221442246331
"770","1,467","Garza County","Race: Tax Assessor-Collector","NANCY K. WALLACE","R","I","1,467",100
"771","13,422","Gillespie County","Race: County Attorney","STEVE WADSWORTH","R","I","13,422",100
"772","3,622","Gillespie County","Race: County Commissioner Pct. 1","CHARLES OLFERS","R","I","3,622",100
"773","3,092","Gillespie County","Race: County Commissioner Pct. 3","DENNIS W. NEFFENDORF","R","I","3,092",100
"774","13129/35852","Gillespie County","Race: District Attorney 216th Judicial District","LUCY WILKE","R","I","13129/35852",NA
"775","13,264","Gillespie County","Race: Sheriff","BUDDY MILLS","R","I","13,264",100
"776","13,579","Gillespie County","Race: Tax Assessor-Collector","VICKI SCHMIDT","R","I","13,579",100
"777","1","Glasscock County","Race: Constable","MARK FRYSAK","R","I","1",100
"778","1","Glasscock County","Race: County Commissioner Pct. 1","CHARLES GULLY","R","I","1",100
"779","1","Glasscock County","Race: County Commissioner Pct. 3","BRIAN FRERICH","R","N","1",100
"780","48/9934","Glasscock County","Race: District Attorney 118th Judicial District","HARDY L. WILKERSON","R","I","48/9934",NA
"781","589","Glasscock County","Race: Justice of the Peace","BRANDY FARRIS","D","N","589",100
"782","1","Glasscock County","Race: Sheriff","KEITH BURNETT","R","I","1",100
"783","1","Glasscock County","Race: Tax Assessor-Collector","TINA FLORES","R","I","1",100
"784","1,577","Goliad County","Race: Constable Pct. 1","ELLIE RAMIREZ","R","N","955",60.5580215599239
"785","1,807","Goliad County","Race: Constable Pct. 2","VIRGINIA POST","R","N","1,807",100
"786","3,201","Goliad County","Race: County Attorney","ROB BAIAMONTE","R","I","3,201",100
"787","896","Goliad County","Race: County Commissioner Pct. 1","DERRICK R. ONEAL (Write-In)","D","N","350",39.0625
"788","896","Goliad County","Race: County Commissioner Pct. 1","KENNETH EDWARDS","R","I","546",60.9375
"789","855","Goliad County","Race: County Commissioner Pct. 3","KIRBY BRUMBY","R","N","855",100
"790","3152/12391","Goliad County","Race: District Attorney 24th Judicial District","ROBERT C. ""ROB"" LASSMANN","R","I","3152/12391",NA
"791","3,404","Goliad County","Race: Sheriff","ROY BOYD","R","N","3,404",100
"792","3,318","Goliad County","Race: Tax Assessor-Collector","MICHELLE GARCIA","R","I","3,318",100
"793","4,595","Gonzales County","Race: Constable Pct. 1","JOHNNIE HALL","R","N","4,595",100
"794","964","Gonzales County","Race: Constable Pct. 3","DEREK JOHNSON","R","I","964",100
"795","1,296","Gonzales County","Race: Constable Pct. 4","JOHN MORENO","R","I","1,296",100
"796","6,755","Gonzales County","Race: County Attorney","PAUL WATKINS","R","I","6,755",100
"797","1,928","Gonzales County","Race: County Commissioner Pct. 1","K.O. ""DELL""  WHIDDON","R","I","1,928",100
"798","1,871","Gonzales County","Race: County Commissioner Pct. 3","KEVIN T. LA FLEUR","R","I","1,871",100
"799","7,412","Gonzales County","Race: Sheriff","FLOYD TOLIVER","D","N","1,379",18.6049649217485
"800","7,412","Gonzales County","Race: Sheriff","ROBERT YNCLAN","R","N","6,033",81.3950350782515
"801","6,902","Gonzales County","Race: Tax Assessor-Collector","CRYSTAL CEDILLO","R","I","6,902",100
"802","3,351","Gray County","Race: Constable Pct. 1","JASON RUSHING","R","I","3,351",100
"803","3,203","Gray County","Race: Constable Pct. 2","JOE MONTGOMERY","R","I","3,203",100
"804","6,931","Gray County","Race: County Attorney","JOSHUA M. SEABOURN","R","I","6,931",100
"805","2,209","Gray County","Race: County Commissioner Pct. 1","LOGAN HUDSON","R","N","2,209",100
"806","1,191","Gray County","Race: County Commissioner Pct. 3","JOHN MARK BAGGERMAN","R","I","1,191",100
"807","1832/5855","Gray County","Race: District Attorney 31st Judicial District","FRANKLIN MCDONOUGH","R","I","1832/5855",NA
"808","3,558","Gray County","Race: Justice of the Peace Pct. 1 & 3","KAREN GOODMAN","R","N","2,757",77.4873524451939
"809","6,969","Gray County","Race: Sheriff","MICHAEL BIG MAC RYAN","R","I","6,969",100
"810","7,150","Gray County","Race: Tax Assessor-Collector","GAYE WHITEHEAD","R","I","7,150",100
"811","1","Grayson County","Race: Constable Pct. 1","THOMAS CARTER","R","I","1",100
"812","17,634","Grayson County","Race: Constable Pct. 2","GWENDOLYN TIKI BRAXTON","D","N","4,251",24.1068390609051
"813","17,634","Grayson County","Race: Constable Pct. 2","MIKE PUTMAN","R","I","13,383",75.8931609390949
"814","1","Grayson County","Race: Constable Pct. 3","TODD BOOHER","R","I","1",100
"815","1","Grayson County","Race: Constable Pct. 4","WILLIAM R. (BOB) DOUGLAS","R","I","1",100
"816","1","Grayson County","Race: County Commissioner Pct. 1","JEFF WHITMIRE","R","I","1",100
"817","1","Grayson County","Race: County Commissioner Pct. 3","PHYLLIS JAMES","R","I","1",100
"818","52,197","Grayson County","Race: Criminal District Attorney","J. BRETT SMITH","R","I","52,197",100
"819","1","Grayson County","Race: Justice of the Peace Pct. 1","LARRY ATHERTON","R","I","1",100
"820","1","Grayson County","Race: Sheriff","TOM WATT","R","I","1",100
"821","1","Grayson County","Race: Tax Assessor-Collector","BRUCE STIDHAM","R","I","1",100
"822","13,138","Gregg County","Race: Constable Pct. 1","MICHAEL GRISHAM","R","I","13,138",100
"823","9,295","Gregg County","Race: Constable Pct. 2","BILLY FORT","R","I","9,295",100
"824","10,514","Gregg County","Race: Constable Pct. 3","JOHN SLAGLE","R","I","10,514",100
"825","6,163","Gregg County","Race: Constable Pct. 4","DANNY CRAIG II","D","I","6,163",100
"826","13,152","Gregg County","Race: County Commissioner Pct. 1","RONNIE MCKINNEY","R","I","13,152",100
"827","10,552","Gregg County","Race: County Commissioner Pct. 3","FLOYD WINGO","R","N","10,552",100
"828","37,606","Gregg County","Race: Sheriff","MAXEY CERLIANO","R","I","37,606",100
"829","38,259","Gregg County","Race: Tax Assessor-Collector","KIRK SHIELDS","R","I","38,259",100
"830","3,049","Grimes County","Race: Constable Pct. 1","DALE SCHAPER","R","I","3,049",100
"831","3,518","Grimes County","Race: Constable Pct. 2","BLAKE JARVIS","R","I","3,518",100
"832","3,425","Grimes County","Race: Constable Pct. 3","WES MALE","R","I","3,425",100
"833","6,698","Grimes County","Race: County Attorney","JON C. FULTZ","D","I","6,698",100
"834","3,024","Grimes County","Race: County Commissioner Pct. 1","CHAD MALLETT","R","I","3,024",100
"835","1,450","Grimes County","Race: County Commissioner Pct. 3","BARBARA HENLY WALKER","D","I","1,450",100
"836","11,990","Grimes County","Race: County Treasurer","JIM-BOB A. TRANT","R","N","9,329",77.8065054211843
"837","11,990","Grimes County","Race: County Treasurer","TARA GAMBLE","D","N","2,661",22.1934945788157
"838","10108/10108","Grimes County","Race: District Attorney 506th Judicial District","ANDRIA BENDER","R","I","10108/10108",NA
"839","10,275","Grimes County","Race: Sheriff","DONALD G. SOWELL","R","I","10,275",100
"840","10,288","Grimes County","Race: Tax Assessor-Collector","MARY ANN WATERS","R","I","10,288",100
"841","1","Guadalupe County","Race: Constable Pct. 1","JAMES SPRINGER","R","I","1",100
"842","1","Guadalupe County","Race: Constable Pct. 2","MARK REYES","R","N","1",100
"843","1","Guadalupe County","Race: Constable Pct. 3","MICHAEL SKROBARCEK","R","I","1",100
"844","1","Guadalupe County","Race: Constable Pct. 4","HARVEY FAULKNER","R","I","1",100
"845","1","Guadalupe County","Race: County Attorney","DAVID WILLBORN","R","I","1",100
"846","1","Guadalupe County","Race: County Commissioner Pct. 1","GREG SEIDENBERGER","R","I","1",100
"847","1","Guadalupe County","Race: County Commissioner Pct. 3","MICHAEL R. CARPENTER","R","N","1",100
"848","1","Guadalupe County","Race: Sheriff","ARNOLD ZWICKE","R","I","1",100
"849","1","Guadalupe County","Race: Tax Assessor-Collector","DARYL W. JOHN","R","I","1",100
"850","5,307","Hale County","Race: Constable Pct. 1","TOMMY BAKER","R","N","5,307",100
"851","2,695","Hale County","Race: Constable Pct. 3","TERRY K TIMMS","R","I","2,695",100
"852","8,007","Hale County","Race: County Attorney","JIM TIREY","R","I","8,007",100
"853","1,680","Hale County","Race: County Commissioner Pct. 1","HAROLD KING","R","I","1,680",100
"854","2,743","Hale County","Race: County Commissioner Pct. 3","KENNY KERNELL","R","I","2,743",100
"855","7972/7972","Hale County","Race: District Attorney 64th Judicial District","WALLY HATCH","R","I","7972/7972",NA
"856","8,033","Hale County","Race: Sheriff","DAVID COCHRAN","R","I","8,033",100
"857","8,220","Hale County","Race: Tax Assessor-Collector","ROLAND NASH","R","I","8,220",100
"858","525","Hall County","Race: County Attorney","JOHN DEAVER II (Deceased)","D","I","525",100
"859","138","Hall County","Race: County Commissioner Pct. 1","LARRY DON MADDOX (Deceased)","R","N","138",100
"860","177","Hall County","Race: County Commissioner Pct. 3","GARY PROFFITT","D","I","177",100
"861","931/8451","Hall County","Race: District Attorney 100th Judicial District","LUKE MCLEAN INMAN","R","I","931/8451",NA
"862","998","Hall County","Race: Sheriff","TOM HECK","R","I","998",100
"863","983","Hall County","Race: Tax Assessor-Collector","TERESA ALTMAN","R","I","983",100
"864","1","Hamilton County","Race: County Attorney","MARK C. HENKES","R","I","1",100
"865","1","Hamilton County","Race: County Commissioner Pct. 1","JOHNNY WAGNER","R","I","1",100
"866","1","Hamilton County","Race: County Commissioner Pct. 3","LLOYD J. HUGGINS","R","I","1",100
"867","1/12977","Hamilton County","Race: District Attorney 220th Judicial District","ADAM SIBLEY","R","I","1/12977",NA
"868","1","Hamilton County","Race: Sheriff","JUSTIN CARAWAY","R","I","1",100
"869","1","Hamilton County","Race: Tax Assessor-Collector","TERRY SHORT","R","I","1",100
"870","1,824","Hansford County","Race: County Attorney","CHERYL NELSON","R","I","1,824",100
"871","415","Hansford County","Race: County Commissioner Pct. 1","IRA ""BUTCH"" REED","R","I","415",100
"872","480","Hansford County","Race: County Commissioner Pct. 3","TIMOTHY STEDJE","R","I","480",100
"873","1783/10023","Hansford County","Race: District Attorney 84th Judicial District","MARK W. SNIDER","R","I","1783/10023",NA
"874","1,081","Hansford County","Race: Sheriff","BOB MAHAFFEE","R","I","1,081",100
"875","1,836","Hansford County","Race: Tax Assessor-Collector","LINDA CUMMINGS","R","I","1,836",100
"876","1","Hardeman County","Race: Constable","BILLY WALKUP","R","I","1",100
"877","1","Hardeman County","Race: County Attorney","STANLEY R. WATSON","D","I","1",100
"878","1","Hardeman County","Race: County Commissioner Pct. 1","CHRIS CALL","R","I","1",100
"879","1","Hardeman County","Race: County Commissioner Pct. 3","BARRY HAYNES","R","I","1",100
"880","1/3294","Hardeman County","Race: District Attorney 46th Judicial District","STALEY HEATLY","D","I","1/3294",NA
"881","1","Hardeman County","Race: Sheriff","PAT LAUGHERY","R","I","1",100
"882","1","Hardeman County","Race: Tax Assessor-Collector","JAN EVANS","R","I","1",100
"883","2,281","Hardin County","Race: Constable Pct. 1","KENNY DAVENPORT","R","N","2,281",100
"884","3,697","Hardin County","Race: Constable Pct. 2","BEN HAWTHORNE","R","I","3,697",100
"885","5,614","Hardin County","Race: Constable Pct. 3","ROBERT ""TREY"" BROTHERS","R","N","5,614",100
"886","2,880","Hardin County","Race: Constable Pct. 4","CORY D. JEFFCOAT","R","I","2,880",100
"887","7,717","Hardin County","Race: Constable Pct. 5","DANNY SULLINS","R","I","7,717",100
"888","1,375","Hardin County","Race: Constable Pct. 6","ROSS JORDAN","R","I","1,375",100
"889","23,517","Hardin County","Race: County Attorney","MATTHEW MINICK","R","N","23,517",100
"890","5,373","Hardin County","Race: County Commissioner Pct. 1","L.W. (NUBBIN) COOPER, JR","R","I","5,373",100
"891","6,497","Hardin County","Race: County Commissioner Pct. 3","AMANDA YOUNG","R","N","5,773",88.8563952593505
"892","6,497","Hardin County","Race: County Commissioner Pct. 3","DONALD OWENS","D","N","724",11.1436047406495
"893","23653/23653","Hardin County","Race: District Attorney 88th Judicial District","REBECCA R. WALTON","R","N","23653/23653",NA
"894","3,032","Hardin County","Race: Justice of the Peace Pct. 4","MARK D. AMES","R","I","3,032",100
"895","23,818","Hardin County","Race: Sheriff","MARK L. DAVIS","R","I","23,818",100
"896","24,006","Hardin County","Race: Tax Assessor-Collector","SHIRLEY MCINTYRE COOK","R","I","24,006",100
"897","1","Harris County","Race: Constable Pct. 1","ALAN ROSEN","D","I","1",100
"898","83,436","Harris County","Race: Constable Pct. 2","DANIEL VELA","R","N","32,103",38.4761973248957
"899","83,436","Harris County","Race: Constable Pct. 2","JERRY GARCIA (HARRIS COUNTY LIEUTENANT)","D","N","51,333",61.5238026751043
"900","120,493","Harris County","Race: Constable Pct. 3","ANDRE HINES","R","N","48,064",39.8894541591628
"901","120,493","Harris County","Race: Constable Pct. 3","SHERMAN EAGLETON","D","I","72,429",60.1105458408372
"902","426,687","Harris County","Race: Constable Pct. 4","JEFF MCGOWEN","D","N","179,503",42.0690107737053
"903","426,687","Harris County","Race: Constable Pct. 4","MARK HERMAN","R","I","247,184",57.9309892262947
"904","420,060","Harris County","Race: Constable Pct. 5","MARK ALAN HARRISON","D","N","204,081",48.5837737466076
"905","420,060","Harris County","Race: Constable Pct. 5","TED HEAP","R","I","215,979",51.4162262533924
"906","1","Harris County","Race: Constable Pct. 6","SILVIA TREVINO","D","I","1",100
"907","1","Harris County","Race: Constable Pct. 7","MAY WALKER","D","I","1",100
"908","1","Harris County","Race: Constable Pct. 8","PHIL SANDLIN","R","I","1",100
